Iteration,Training Accuracy,Validation Accuracy
1,95.62193126022913,94.47513812154696
2,96.15384615384616,94.96623695518723
3,96.31751227495909,95.0890116635973
4,96.62438625204582,95.0890116635973
5,96.76759410801964,95.02762430939227
6,96.72667757774141,95.0890116635973
7,96.82896890343699,95.15039901780233
8,96.8494271685761,95.21178637200737
9,96.89034369885434,95.21178637200737
10,96.8494271685761,95.2731737262124
11,96.99263502454991,95.33456108041743
12,96.99263502454991,95.2731737262124
13,97.07446808510639,95.2731737262124
14,97.05400981996726,95.2731737262124
15,97.0949263502455,95.39594843462247
