Iteration,Training Accuracy,Validation Accuracy
1,98.42471358428806,97.17618170656844
2,99.52945990180032,97.72866789441375
3,99.61129296235679,97.66728054020872
4,99.93862520458265,98.34254143646409
5,99.97954173486089,98.15837937384899
6,99.93862520458265,98.40392879066913
7,99.93862520458265,98.34254143646409
8,100.0,98.34254143646409
9,100.0,98.34254143646409
10,100.0,98.34254143646409
11,100.0,98.34254143646409
12,100.0,98.34254143646409
13,100.0,98.34254143646409
14,100.0,98.34254143646409
15,100.0,98.34254143646409
