Iteration,Training Accuracy,Validation Accuracy
1,94.74222585924714,93.37016574585635
2,95.76513911620295,94.536525475752
3,94.98772504091653,93.49294045426642
4,96.48117839607201,94.84346224677716
5,95.68330605564648,93.67710251688152
6,95.76513911620295,94.3523634131369
7,95.88788870703765,93.7998772252916
8,95.66284779050737,93.86126457949662
9,95.90834697217676,94.78207489257213
10,96.2152209492635,93.92265193370166
11,96.2152209492635,94.04542664211172
12,95.90834697217676,94.29097605893186
13,96.4607201309329,94.22958870472682
14,96.62438625204582,95.2731737262124
15,95.64238952536824,94.59791282995702
